"it","es","tr","fr","pt","ru"
"porco dio","jodido","hırt","se foutre dans la merde","","без пизды"
"scoreggia","conchatumadre","piç","connasse","","мудозвод"
"mone","se la metio","çekirge götü","note from benjamin","","как ёб твою мать"
"accidenti","le quedo una chimba","yarak","conneries","","член"
"rompere il culo a qualcuno","gilipollas","amına koyduğumun çocuğu","foutre","","под юбкой"
"spagnola","pelos de los huevos","yarak kürek","laisse-moi tranquille","","хуйло"
"vattela a pijà 'n der culo","mal bicho","ananı sikerim","baiser","","жополиз"
"finocchi","metete un palo por el culo","amcık","je te nique ta race sale fils de chien","","подонок"
"avere la faccia come il culo","me cago en la leche","fallik","putain de","","наёб"
"sfacim e merde","verga dura","sürtük","branler","","говно"
"maiala","me importa un huevo","fahişe","aller se faire foutre","","путана"
"porca miseria","huevada","dalyarak","foutre la merde","","заебала"
"cagacazzo","cipote","aşk meleği","j’en ai plus rien à foutre","","допизды"
"segaiolo","chupame la polla","yarrağı yedin","je m’en bats les couilles","","елда"
"cornuti","hijo de la chingada","yordamını sikeyim","ce mécanicien m’a bien baisé","","дерево"
"pompinaro","comecaca","dalağını sikerim","garce","","проститутка"
"zoccola","besame el culo","göt lalesi","casser les couilles","","еб тебя"
"rotto nel culo","zunga","sik kafalı","zut","","отъебись"
"minchie","estás puto","budala","dégénéré","","гнида"
"culi","hijo de mil putas","ananı bacını sikeyim","bordel de merde","","хитровыебанный"
"incazzarsi","cara de pito","siki tuttun","enculer une mouche","","козел"
"fottere","bombero","göt","brûle en enfer","","залупа"
"fongoul","chotaco","göt veren","de merde","","еб"
"sfiga","desviado","deyyus","abruti","","облом"
"cazzeggiare","cagaste y saltaste en la caca","yarrağı","ça schlingue","","не пудри мозги"
"dio cangurello","tu madre es una puta","gerizekalı","couillonne","","вьебал"
"vai a vendere il culo","métetelo por el culo","dürzü","vous êtes stupide","","вдруг, откуда ни возьмись, появился в рот ебись"
"che cazzo","rosquete","sikimde değil","dégueulasse","","изъебнулся"
"mangia merde e morte","caracho","allah kahretsin","framble","","ебни"
"mimbominkia","negrata","amına kodumun piçi","tais-toi","","жопа"
"accidenti!","me encanta tu culo","sırık","trouduc","","руки из жопы"
"scopare","garchar","öküz","nique ta mère","","выебнуться"
"vai a farti fottere, puttana!","madrear","milli olmak","ferme ta gueule","","мудила"
"ti ammazzo","tirate a un poso","sikko","conne","","пиздобратия"
"cagata","una pendeja","dangalak","enculé","","гобиться"
"ricchione","me cago","eşek","partir en couille","","педик"
"bastardo","de cojones","ebesini siktiğimin göt lalesi","crétin","","дура"
"seghe","puto","sıçarım böyle işe","chier","","бадяжить"
"puttana","pinga","ağzını yüzünü siktiğimin pezevengi","baise toi","","деревеньщина"
"vai a dar via il culo","trucha","gelmişini geçmişini sikeyim","pute","","наблядовал"
"cazzo Madre di dio","calientapollas","amını götünden sikerim","j’en ai ral le cul","","голубой"
"pompino","jupa de pollo","","merde","","распиздяйка"
"sborra","mondá","","putain t’es moche","","капрофил"
"tu piezza di merda!","basura","","connerie","","доебалась"
"figlio un cane","fundillo","","prendre pour un con","","ёбкость"
"gran’ disgraziato","valió verga","","debile","","страть тебе в рот"
"andare a puttane:","cundango","","ne rien foutre","","опиздоумел"
"puttaniere","wey","","t’es débile","","хитровыебанная"
"mafankulo","gonorrea","","rien à branler ","","говнюк"
"porca troia","pedazo","","la vache","","засранец"
"cazzi","madrazo","","je pis dans ta bouche","","дерьмо"
"porca eva","banana","","qu’est-ce que tu branles","","осёд"
"che te pozzino ammazza!","porongo","","putain de bordel de merde","","заёб"
"sbora","me importa un cojón","","se casser","","целкa"
"testa di cazzo","macha","","je m’en fous pas mal","","еблан"
"cretino","no me jodas","","fils de pute","","ебанёшься"
"che palle","manflor","","faire chier","","ебанулся"
"bastardi","trabuco","","enculer","","гей"
"rottinculo","por huevos","","il est stupide","","дерьмохеропиздократ"
"dio santo!","comilón","","branler – to jerk off","","шлюха"
"segone","zorra","","j’en ai marre","","кнь педальный"
"sega","todo el jupa de poll","","","","пиздец"
"sborrare","triple-hijueputa","","","","удавись"
"cazzo","tocarse los cojones","","","","развалюха"
"gnocche","poronga","","","","шут"
"mannaggia tua","cocoon","","","","нахуярить"
"nessuno mi unfungulo","tocarse los huevos","","","","ебашит"
"cazzo di merda","verga muy grande","","","","прыщавый"
"Testa di minchia","raro","","","","крыша поехала"
"fiche","chingón","","","","у меня стоит"
"tu ma’ piscia in piedi","no joda","","","","выёбывается"
"brutto figlio di puttana bastardo","follar","","","","яйца"
"froci","soplanucas","","","","слоняра"
"puttane","negrito","","","","обламатся"
"","puttus","","","","хер"
"","verga","","","","какого черта"
"","chingar","","","","феменистка"
"","fran","","","","заебал"
"","gilipolla","","","","ебланка"
"","caquita de la vaquita","","","","крыса"
"","me cago en ti","","",""," да пошел тыпошел ты"
"","kieta el stupido elephante","","","","фалос"
"","knave","","","","фапать"
"","güey","","","","черт возми"
"","bete a la verga","","","","гнусный"
"","orto","","","","машонка"
"","payaso","","","","пидоростия"
"","cabro","","","","трахаться"
"","loco","","","","пофапать"
"","capullo","","","","ебальник разинул"
"","mariconzón","","","","пиздрик"
"","mierda de toro","","","","дуплоящер"
"","chula","","","","вжопу"
"","echar madrazos","","","","я тебя в рот ебал"
"","tocarse las pelotas","","","","сцать"
"","tragasables","","","","подъёбки"
"","afeminado","","","","ебаная сука"
"","mierda","","","","объебала"
"","loca","","","","яйчелы"
"","hijueputa","","","","наебали"
"","pinnus","","","","хуй тебе в жопу"
"","tonto","","","","ты дегенерат"
"","collons","","","","объебал"
"","buey","","","","заебёшь мёртвого"
"","culear","","","","косяк"
"","qué chingados es eso","","","","хуелес"
"","puñal","","","","баба"
"","conchetumadre","","","","кощей"
"","ahueonao","","","","осел"
"","garcha","","","","наебнулся"
"","pelotudo","","",""," пососи ми яйчелы"
"","miércoles","","","","болван"
"","le metio la verga","","","","черножепый"
"","jode tu madre ayer noche","","","","еб твою мать"
"","cacorro","","","","овца"
"","percanta","","","","нахуяриться"
"","ahuevoneado","","","","остоебал"
"","chinga tu madre","","","","пиздецкое"
"","perra","","","","ёбаная сука"
"","chorizo","","","","отсоси потом проси"
"","palanca de cambios","","","","как мухи на говно"
"","caca","","","","коза"
"","culero","","","","одень"
"","joystick","","","","феменизм"
"","pájaro","","","","алкаш"
"","hueco","","","","пизда"
"","tu eres más feo que el culo de un mono","","","","пондостания"
"","yo cago en la leche de tu puta madre","","","","уебался"
"","estás cabrón","","","","хесосо"
"","atontado","","","","маза факер"
"","chingada","","","","пасть"
"","chingona","","","","опущеный"
"","uy, que care-chimba","","","","деревянный"
"","chulo","","","","ебанул"
"","bolson","","","","ахуй"
"","chingada madre","","","","блядь"
"","mamagüevo","","","","чурка"
"","tu madre es una puta fea","","","","пиздодушие"
"","tragaleche","","","","объебали"
"","vaina","","","","пердун старый"
"","gilipollez","","","","пьянь"
"","coger","","","","пиздецкий"
"","chota","","","","пиздопляска"
"","muerdealmohadas","","","","глупизди"
"","cara de mi huevo izquierdo","","","","оберблядь"
"","puttana","","","","соси писос"
"","cockroach","","","","ёб"
"","chivo","","","","спиздила"
"","andate a la chucha","","","","оскотоёбился"
"","culito","","","","хуевина"
"","tocar los huevos","","","","блядистость"
"","qué maricón de mierda, eh?","","","","пендос"
"","poto","","","","пиздабол"
"","polla","","","","козлоёбина"
"","bujarra","","","","изъебнуться"
"","bugarrón","","","","лох"
"","bombilla de cuero","","","","трах"
"","maricueca","","","","убью"
"","tu madre es muy gato y feo","","","","мамку"
"","me cago en la hostia","","","","соси хуй"
"","soy la verga andando","","","","ленивая жопа"
"","mano, eres tremendamente maricón","","","","подпиздывает"
"","puta barrata","","","","кресты"
"","el orto","","","","некрофил"
"","chinga tu madre, cabrón","","","","пендостан"
"","puta madre","","","","мудачье"
"","boludo","","","","мудак"
"","so'","","","","скотоёбина"
"","está muy pinche","","","","нигретов"
"","coño","","","","нет яиц"
"","huevos","","","","жидоёбские"
"","te voy a meter la verga","","","","забить хуй"
"","mira qué cabrón","","","","насрать"
"","desgraciado","","","","свинья"
"","colizón","","","","стояк"
"","marimacha","","","","убъю"
"","carajito","","","","дувушка по вызову"
"","bambaro","","","","ботаник"
"","roscón","","","","разъебали"
"","mierda de toros","","","","спиздил"
"","cochón","","","","козлоёб"
"","plumón","","","","бурда"
"","culiao","","","","наркоту"
"","manflora","","","","хуй на нее"
"","chichis","","","","член тебе в рот"
"","hueles a mierda","","","","рак"
"","vete al carajo","","","","бля"
"","raghead","","","","сосать"
"","camel jockey","","","","завали ебало"
"","chingon","","","","писос"
"","chotar","","","","промежность"
"","pendo","","","","соска"
"","chocha","","","","хуй тебе"
"","ahuevado","","","","пиздоёбищность"
"","estúpido","","","","обосцыш"
"","bujarrón","","","","ебало"
"","pendejo","","","","дрянной"
"","bufarrón","","","","да хуй его не возьмёт"
"","me cago en tu puta madre","","","","сосунок"
"","parchita","","","","заебать"
"","culo","","","","падла"
"","bicho","","","","бляхомудия"
"","yo soy cabrón","","","","завали рот"
"","pinche güey","","","","уебалась"
"","panocha","","","","подзалупный"
"","maricón","","","","мондавошки"
"","marica","","","","в жопу"
"","perro","","","","шестерка"
"","bombilla","","","","срать на тебя"
"","culo peludo","","","","ебанат вонючий"
"","que te jodan","","","","уёбище"
"","chapero","","","","жидоёб"
"","huevon","","","","нига"
"","madre","","","","предатель"
"","jack","","","","хуй моржерый"
"","calójili","","","","ебёт в рот и в жопу"
"","chingados","","","","шут гороховый"
"","tu hermano no tiene la ingle","","","","подофил"
"","me cago en dios","","","","лолита"
"","cojete mi suegra","","","","пендостания"
"","tocar los pelotas","","","","пиздуй"
"","burro","","","","не хначь"
"","albondigas","","","","высший пиздец"
"","el ojete","","","","долбаеб"
"","mayate","","","","пиздун"
"","pulla","","","","алкашная"
"","hijo de puta","","","","мошонка"
"","bastardo","","","","малоебущий"
"","vení, oleme la chucha","","","","слон"
"","cuca","","","","распиздошить"
"","cagar","","","","трепездон"
"","partido","","","","чухмен"
"","chocho","","","","доебался"
"","mariposa","","","","ебаная блядь"
"","fleto","","","","пидорас"
"","fresa","","","","пиздобрат"
"","putus","","","","подпиздываеть"
"","pija","","","","да ебал я"
"","rarito","","","","нахуя"
"","imbécil","","","","черт"
"","pelotas","","","","баба яга"
"","chucha","","","","соси член"
"","cojones","","","","прокаженный"
"","homogay","","","","козлоёбище"
"","que comemierderia","","","","уебаться"
"","chucha de tu madre","","","","ебани"
"","way","","","","дурак несчастный"
"","chupamela","","","","выебываться"
"","mamagüevazo","","","","пасть закрой"
"","tienes ganas","","","","гандон"
"","idiota","","","","греблядь"
"","","","","","заебали"
"","","","","","ошибка природы"
"","","","","","поебень"
"","","","","","ты дурак"
"","","","","","ёб твою мать"
"","","","","","остоебала"
"","","","","","остоебали"
"","","","","","пиздецкая"
"","","","","","пёзды"
"","","","","","я твою мамку ебал"
"","","","","","похуй"
"","","","","","балван"
"","","","","","ебаный карась"
"","","","","","завали пасть"
"","","","","","черт побери"
"","","","","","дегенерат"
"","","","","","азер"
"","","","","","голоёбица"
"","","","","","москали"
"","","","","","у меня встал"
"","","","","","пиздомания"
"","","","","","гаишник"
"","","","","","уебки"
"","","","","","выёбываются"
"","","","","","трепездонит"
"","","","","","халявочник"
"","","","","","исчезни"
"","","","","","залупа коская"
"","","","","","на хуй"
"","","","","","секс"
"","","","","","объебательство"
"","","","","","сучьи сын"
"","","","","","блоха"
"","","","","","впиздячил"
"","","","","","пердун"
"","","","","","выебываешься"
"","","","","","уёбищенски"
"","","","","","факер"
"","","","","","лабизаться"
"","","","","","срачище"
"","","","","","мордобой"
"","","","","","окаченел"
"","","","","","хуёво"
"","","","","","хуйню нести"
"","","","","","забил хуй"
"","","","","","жук навозный"
"","","","","","сучара"
"","","","","","наротан"
"","","","","","минет"
"","","","","","я твою маму ебал"
"","","","","","говносос"
"","","","","","гадушник"
"","","","","","шароёбится"
"","","","","","халява"
"","","","","","нигер"
"","","","","","сучка"
"","","","","","конченый"
"","","","","","рачина"
"","","","","","доебаться"
"","","","","","наебашился"
"","","","","","сосихуйский"
"","","","","","ебать"
"","","","","","головка от хуя"
"","","","","","ведьма"
"","","","","","крышка"
"","","","","","крысеныш"
"","","","","","пошел на хуй"
"","","","","","пидоростан"
"","","","","","заебись"
"","","","","","ченый"
"","","","","","засунь в жопу"
"","","","","","конча"
"","","","","","дубина"
"","","","","","очкун"
"","","","","","москаль"
"","","","","","долбаебка"
"","","","","","косоёбится"
"","","","","","мондавошка"
"","","","","","нимфоманка"
"","","","","","ебанулась"
"","","","","","подъёбка"
"","","","","","жидоёбская"
"","","","","","объебать"
"","","","","","изъебнулась"
"","","","","","трахал"
"","","","","","наебщики"
"","","","","","выёбываться"
"","","","","","иди нахуй"
"","","","","","косячок"
"","","","","","мамка"
"","","","","","запад"
"","","","","","херотень"
"","","","","","даун"
"","","","","","бля буду"
"","","","","","жопу порву маргала выкалю"
"","","","","","ну все, тебе пизда"
"","","","","","хуй"
"","","","","","дуб дубом"
